Date,Company,ISIN,Ri (%),Rf (%),Size,Value,ESG Score,ESGC Score
6/30/20,Hoshine Silicon,CNE100002V10,,0.16,,,,
6/30/20,SCTE,CNE000000BQ0,,0.16,,,,
6/30/20,QD Port Intl,CNE100003GT6,,0.16,,,,
6/30/20,Yankuang Energy,CNE000000WV6,,0.16,,,,
6/30/20,Shanghai Const,CNE000000WR4,,0.16,,,,
6/30/20,STO Express,CNE100000T99,,0.16,,,,
6/30/20,TBEA,CNE000000RB8,,0.16,,,,
6/30/20,THDB,CNE000000H87,,0.16,,,,
6/30/20,Tianqi Lithium,CNE100000T32,,0.16,,,,
6/30/20,HBIS,CNE000000H20,,0.16,,,,
6/30/20,HLA GROUP,CNE0000016H3,,0.16,,,,
6/30/20,Hainan Airlines,CNE0000011C5,,0.16,,,,
6/30/20,CN Coal Energy,CNE100000957,,0.16,,,,
6/30/20,AVIC AVIONICS,CNE0000018C0,,0.16,,,,
6/30/20,Avicopter,CNE0000015V6,,0.16,,,,
6/30/20,BaiyinNonferrous,CNE100002RP3,,0.16,,,,
6/30/20,GYB,CNE100002FX2,,0.16,,,,
6/30/20,BBMG Corp,CNE1000010M4,,0.16,,,,
6/30/20,China Film,CNE100002GX0,,0.16,,,,
6/30/20,Bank of Xi'an,CNE100003JB8,,0.16,,,,
6/30/20,CNOOC Energy Tec,CNE100003L78,,0.16,,,,
6/30/20,FangDa Carbon,CNE000001CC6,,0.16,,,,
6/30/20,COOEC,CNE0000019T2,,0.16,,,,
7/31/20,Industrial and Commercial Bank of China Ltd,CNE000001P37,,0.09,,,,
7/31/20,Kweichow Moutai Co Ltd,CNE0000018R8,,0.09,,,,
7/31/20,Agricultural Bank of China Ltd,CNE100000RJ0,,0.09,,,,
7/31/20,Bank of China Ltd,CNE000001N05,,0.09,,,,
7/31/20,China Construction Bank Corp,CNE100000742,,0.09,,,,
7/31/20,PetroChina Co Ltd,CNE1000007Q1,,0.09,,,,
7/31/20,BYD Co Ltd,CNE100001526,,0.09,,,,
7/31/20,China Merchants Bank Co Ltd,CNE000001B33,,0.09,,,,
7/31/20,China Life Insurance Co Ltd,CNE000001Q93,,0.09,,,,
7/31/20,Ping An Insurance Group Co of China Ltd,CNE000001R84,,0.09,,,,
7/31/20,China Shenhua Energy Co Ltd,CNE100000767,,0.09,,,,
7/31/20,China Yangtze Power Co Ltd,CNE000001G87,,0.09,,,,
7/31/20,China Petroleum & Chemical Corp,CNE0000018G1,,0.09,,,,
7/31/20,Midea Group Co Ltd,CNE100001QQ5,,0.09,,,,
7/31/20,Wuliangye Yibin Co Ltd,CNE000000VQ8,,0.09,,,,
7/31/20,Bank of Communications Co Ltd,CNE1000000S2,,0.09,,,,
7/31/20,Foxconn Industrial Internet Co Ltd,CNE1000031P3,,0.09,,,,
7/31/20,Industrial Bank Co Ltd,CNE000001QZ7,,0.09,,,,
7/31/20,Zijin Mining Group Co Ltd,CNE100000B24,,0.09,,,,
7/31/20,CITIC Securities Co Ltd,CNE000001DB6,,0.09,,,,
7/31/20,East Money Information Co Ltd,CNE100000MD4,,0.09,,,,
7/31/20,China Citic Bank Corp Ltd,CNE1000000R4,,0.09,,,,
7/31/20,Luxshare Precision Industry Co Ltd,CNE100000TP3,,0.09,,,,
7/31/20,Jiangsu Hengrui Pharmaceuticals Co Ltd,CNE0000014W7,,0.09,,,,
7/31/20,Shanghai Pudong Development Bank Co Ltd,CNE0000011B7,,0.09,,,,
7/31/20,Hangzhou Hikvision Digital Technology Co Ltd,CNE100000PM8,,0.09,,,,
7/31/20,China Pacific Insurance Group Co Ltd,CNE1000008M8,,0.09,,,,
7/31/20,People's Insurance Company Group of China Ltd,CNE100003F27,,0.09,,,,
7/31/20,Shanxi Xinghuacun Fen Wine Factory Co Ltd,CNE000000DH5,,0.09,,,,
7/31/20,Haier Smart Home Co Ltd,CNE000000CG9,,0.09,,,,
7/31/20,Gree Electric Appliances Inc of Zhuhai,CNE0000001D4,,0.09,,,,
7/31/20,Foshan Haitian Flavouring and Food Co Ltd,CNE100001SL2,,0.09,,,,
7/31/20,China State Construction Engineering Corp Ltd,CNE100000F46,,0.09,,,,
7/31/20,Ping An Bank Co Ltd,CNE000000040,,0.09,,,,
7/31/20,China United Network Communications Ltd,CNE000001CS2,,0.09,,,,
7/31/20,Wanhua Chemical Group Co Ltd,CNE0000016J9,,0.09,,,,
7/31/20,COSCO Shipping Holdings Co Ltd,CNE100000601,,0.09,,,,
7/31/20,China Everbright Bank Co Ltd,CNE100000SL4,,0.09,,,,
7/31/20,China National Nuclear Power Co Ltd,CNE1000022N7,,0.09,,,,
7/31/20,Crrc Corp Ltd,CNE100000CP9,,0.09,,,,
7/31/20,Muyuan Foods Co Ltd,CNE100001RQ3,,0.09,,,,
7/31/20,SAIC Motor Corp Ltd,CNE000000TY6,,0.09,,,,
7/31/20,ZTE Corp,CNE000000TK5,,0.09,,,,
7/31/20,S.F. Holding Co Ltd,CNE100000L63,,0.09,,,,
7/31/20,Shenzhen Inovance Technology Co Ltd,CNE100000V46,,0.09,,,,
7/31/20,Shaanxi Coal Industry Co Ltd,CNE100001T64,,0.09,,,,
7/31/20,NARI Technology Co Ltd,CNE000001G38,,0.09,,,,
7/31/20,Great Wall Motor Co Ltd,CNE1000018V8,,0.09,,,,
7/31/20,Will Semiconductor Co Ltd Shanghai,CNE100002XM8,,0.09,,,,
7/31/20,WuXi AppTec Co Ltd,CNE1000031K4,,0.09,,,,
7/31/20,Luzhou Laojiao Co Ltd,CNE000000GF2,,0.09,,,,
7/31/20,Inner Mongolia Yili Industrial Group Co Ltd,CNE000000JP5,,0.09,,,,
7/31/20,China Minsheng Banking Corp Ltd,CNE0000015Y0,,0.09,,,,
7/31/20,China Securities Co Ltd,CNE1000031T5,,0.09,,,,
7/31/20,BOE Technology Group Co Ltd,CNE0000016L5,,0.09,,,,
7/31/20,Hithink RoyalFlush Information Network Co Ltd,CNE100000JG3,,0.09,,,,
7/31/20,Bank of Jiangsu Co Ltd,CNE100002G76,,0.09,,,,
7/31/20,Bank of Ningbo Co Ltd,CNE1000005P7,,0.09,,,,
7/31/20,Huaneng Lancang River Hydropower Inc,CNE100002T71,,0.09,,,,
7/31/20,China Merchants Securities Co Ltd,CNE100000HK9,,0.09,,,,
7/31/20,Huatai Securities Co Ltd,CNE100000LQ8,,0.09,,,,
7/31/20,Sany Heavy Industry Co Ltd,CNE000001F70,,0.09,,,,
7/31/20,Guotai Junan Securities Co Ltd,CNE1000022F3,,0.09,,,,
7/31/20,Lens Technology Co Ltd,CNE100001YW7,,0.09,,,,
7/31/20,Baoshan Iron & Steel Co Ltd,CNE0000015R4,,0.09,,,,
7/31/20,Fuyao Glass Industry Group Co Ltd,CNE000000230,,0.09,,,,
7/31/20,CMOC Group Ltd,CNE100001NR0,,0.09,,,,
7/31/20,China Railway Group Ltd,CNE100000866,,0.09,,,,
7/31/20,China Communications Construction Co Ltd,CNE100001FN5,,0.09,,,,
7/31/20,China Galaxy Securities Co Ltd,CNE100002FG7,,0.09,,,,
7/31/20,Daqin Railway Co Ltd,CNE000001NG4,,0.09,,,,
7/31/20,New China Life Insurance Company Ltd,CNE1000019Y0,,0.09,,,,
7/31/20,iFLYTEK Co Ltd,CNE100000B81,,0.09,,,,
7/31/20,Shanghai International Port Group Co Ltd,CNE0000013N8,,0.09,,,,
7/31/20,Weichai Power Co Ltd,CNE1000000D4,,0.09,,,,
7/31/20,Bank of Shanghai Co Ltd,CNE100002FM5,,0.09,,,,
7/31/20,Aier Eye Hospital Group Co Ltd,CNE100000GR6,,0.09,,,,
7/31/20,Zhejiang Sanhua Intelligent Controls Co Ltd,CNE000001M22,,0.09,,,,
7/31/20,Avic Shenyang Aircraft Co Ltd,CNE000000MH6,,0.09,,,,
7/31/20,LONGi Green Energy Technology Co Ltd,CNE100001FR6,,0.09,,,,
7/31/20,China Tourism Group Duty Free Corp Ltd,CNE100000G29,,0.09,,,,
7/31/20,Bank of Beijing Co Ltd,CNE100000734,,0.09,,,,
7/31/20,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,CNE000001F21,,0.09,,,,
7/31/20,Shenwan Hongyuan Group Co Ltd,CNE100002FD4,,0.09,,,,
7/31/20,Haitong Securities Co Ltd,CNE000000CK1,,0.09,,,,
7/31/20,Aluminum Corporation of China Ltd,CNE1000000T0,,0.09,,,,
7/31/20,Jiangsu Yanghe Distillery Co Ltd,CNE100000HB8,,0.09,,,,
7/31/20,Chongqing Changan Automobile Co Ltd,CNE000000R36,,0.09,,,,
7/31/20,Ningxia Baofeng Energy Group Co Ltd,CNE100003LF5,,0.09,,,,
7/31/20,Hua Xia Bank Co Ltd,CNE000001FW7,,0.09,,,,
7/31/20,Anhui Conch Cement Co Ltd,CNE0000019V8,,0.09,,,,
7/31/20,Dawning Information Industry Co Ltd,CNE100001TW7,,0.09,,,,
7/31/20,Bank of Nanjing Co Ltd,CNE100000627,,0.09,,,,
7/31/20,GF Securities Co Ltd,CNE0000008L2,,0.09,,,,
7/31/20,Air China Ltd,CNE000001NN0,,0.09,,,,
7/31/20,Wens Foodstuff Group Co Ltd,CNE100002508,,0.09,,,,
7/31/20,China Railway Construction Corp Ltd,CNE1000009T1,,0.09,,,,
7/31/20,Hengli Petrochemical Co Ltd,CNE0000018V0,,0.09,,,,
7/31/20,SDIC Power Holdings Co Ltd,CNE000000JM2,,0.09,,,,
7/31/20,Goertek Inc,CNE100000BP1,,0.09,,,,
7/31/20,Guosen Securities Co Ltd,CNE100001WS9,,0.09,,,,
7/31/20,XCMG Construction Machinery Co Ltd,CNE000000FH0,,0.09,,,,
7/31/20,Shandong Gold Mining Co Ltd,CNE000001FR7,,0.09,,,,
7/31/20,Poly Developments and Holdings Group Co Ltd,CNE000001ND1,,0.09,,,,
7/31/20,Yunnan Baiyao Group Co Ltd,CNE0000008X7,,0.09,,,,
7/31/20,AECC Aviation Power Co Ltd,CNE000000JW1,,0.09,,,,
7/31/20,China Shipbuilding Industry Co Ltd,CNE100000J75,,0.09,,,,
7/31/20,Avary Holding Shenzhen Co Ltd,CNE100003GF5,,0.09,,,,
7/31/20,GigaDevice Semiconductor Inc,CNE1000030S9,,0.09,,,,
7/31/20,China Southern Airlines Co Ltd,CNE000001FG0,,0.09,,,,
7/31/20,Unisplendour Corp Ltd,CNE0000010T1,,0.09,,,,
7/31/20,Focus Media Information Technology Co Ltd,CNE000001KK2,,0.09,,,,
7/31/20,Tongwei Co Ltd,CNE000001GS3,,0.09,,,,
7/31/20,China Satellite Communications Co Ltd,CNE100003PX9,,0.09,,,,
7/31/20,TCL Technology Group Corp,CNE000001GL8,,0.09,,,,
7/31/20,Henan Shuanghui Investment & Development Co Ltd,CNE000000XM3,,0.09,,,,
7/31/20,Huaneng Power International Inc,CNE000001998,,0.09,,,,
7/31/20,Rongsheng Petrochemical Co Ltd,CNE100000W60,,0.09,,,,
7/31/20,China Vanke Co Ltd,CNE0000000T2,,0.09,,,,
7/31/20,Power Construction Corporation of China Ltd,CNE1000017G1,,0.09,,,,
7/31/20,China Merchants Shekou Industrial Zone Holdings Co Ltd,CNE100002FC6,,0.09,,,,
7/31/20,Bank of Hangzhou Co Ltd,CNE100002GQ4,,0.09,,,,
7/31/20,360 Security Technology Inc,CNE100002RZ2,,0.09,,,,
7/31/20,Inner Mongolia BaoTou Steel Union Co Ltd,CNE0000017H1,,0.09,,,,
7/31/20,China Northern Rare Earth Group High-Tech Co Ltd,CNE000000T18,,0.09,,,,
7/31/20,Shanghai International Airport Co Ltd,CNE000000V89,,0.09,,,,
7/31/20,Anhui Gujing Distillery Co Ltd,CNE000000MD5,,0.09,,,,
7/31/20,Jonhon Optronic Technology Co Ltd,CNE1000007T5,,0.09,,,,
7/31/20,Guangdong Haid Group Co Ltd,CNE100000HP8,,0.09,,,,
7/31/20,Orient Securities Co Ltd,CNE100001ZV6,,0.09,,,,
7/31/20,Shengyi Technology Co Ltd,CNE000000XL5,,0.09,,,,
7/31/20,Shennan Circuits Co Ltd,CNE100003373,,0.09,,,,
7/31/20,China Eastern Airlines Corp Ltd,CNE000000TR0,,0.09,,,,
7/31/20,Chaozhou Three-circle Group Co Ltd,CNE100001Y42,,0.09,,,,
7/31/20,Guangzhou Automobile Group Co Ltd,CNE100001NQ2,,0.09,,,,
7/31/20,Gd Power Development Co Ltd,CNE000000PC0,,0.09,,,,
7/31/20,Everbright Securities Co Ltd,CNE100000FD8,,0.09,,,,
7/31/20,Avic XiAn Aircraft Industry Group Co Ltd,CNE000000RF9,,0.09,,,,
7/31/20,Bank of Chengdu Co Ltd,CNE100002SN6,,0.09,,,,
7/31/20,Zhejiang Nhu Co Ltd,CNE000001J84,,0.09,,,,
7/31/20,Founder Securities Co Ltd,CNE1000015Y8,,0.09,,,,
7/31/20,Ganfeng Lithium Group Co Ltd,CNE100000SF6,,0.09,,,,
7/31/20,Hundsun Technologies Inc,CNE000001GD5,,0.09,,,,
7/31/20,Chongqing Zhifei Biological Products Co Ltd,CNE100000V20,,0.09,,,,
7/31/20,Zoomlion Heavy Industry Science and Technology Co Ltd,CNE000001527,,0.09,,,,
7/31/20,Huadong Medicine Co Ltd,CNE0000011S1,,0.09,,,,
7/31/20,Shanghai Fosun Pharmaceutical Group Co Ltd,CNE000000X38,,0.09,,,,
7/31/20,Metallurgical Corporation of China Ltd,CNE100000FX6,,0.09,,,,
7/31/20,Jiangxi Copper Co Ltd,CNE0000019P0,,0.09,,,,
7/31/20,Zhejiang Dahua Technology Co Ltd,CNE100000BJ4,,0.09,,,,
7/31/20,Yonyou Network Technology Co Ltd,CNE0000017Y6,,0.09,,,,
7/31/20,HUAYU Automotive Systems Co Ltd,CNE000000M15,,0.09,,,,
7/31/20,Zheshang Securities Co Ltd,CNE100002R65,,0.09,,,,
7/31/20,Zhejiang Chint Electrics Co Ltd,CNE100000KD8,,0.09,,,,
7/31/20,China Oilfield Services Ltd,CNE100000759,,0.09,,,,
7/31/20,Industrial Securities Co Ltd,CNE100000V95,,0.09,,,,
7/31/20,Zhejiang Huayou Cobalt Co Ltd,CNE100001VW3,,0.09,,,,
7/31/20,Spring Airlines Co Ltd,CNE100001V45,,0.09,,,,
7/31/20,Mango Excellent Media Co Ltd,CNE100001Y83,,0.09,,,,
7/31/20,Beijing Tongrentang Co Ltd,CNE000000R69,,0.09,,,,
7/31/20,Beijing New Building Materials Public Ltd Co,CNE000000QS4,,0.09,,,,
7/31/20,Hangzhou Tigermed Consulting Co Ltd,CNE100001KV8,,0.09,,,,
7/31/20,SDIC Capital Co Ltd,CNE000000Q11,,0.09,,,,
7/31/20,New Hope Liuhe Co Ltd,CNE000000VB0,,0.09,,,,
7/31/20,China Jushi Co Ltd,CNE000000YM1,,0.09,,,,
7/31/20,Shanghai RAAS Blood Products Co Ltd,CNE100000C31,,0.09,,,,
7/31/20,LB Group Co Ltd,CNE1000015M3,,0.09,,,,
7/31/20,Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd,CNE000001733,,0.09,,,,
7/31/20,Changchun High-Tech Industry Group Co Ltd,CNE0000007J8,,0.09,,,,
7/31/20,Oppein Home Group Inc,CNE100002RB3,,0.09,,,,
7/31/20,Hongta Securities Co Ltd,CNE100003PY7,,0.09,,,,
7/31/20,37 Interactive Entertainment Network Technology Group Co Ltd,CNE1000010N2,,0.09,,,,
7/31/20,Beijing Oriental Yuhong Waterproof Technology Co Ltd,CNE100000CS3,,0.09,,,,
7/31/20,Hualan Biological Engineering Inc,CNE000001JN8,,0.09,,,,
7/31/20,Walvax,CNE100000WN2,,0.09,,,,
7/31/20,M&G,CNE100001V60,,0.09,,,,
7/31/20,CVTE,CNE100002K47,,0.09,,,,
7/31/20,Glodon,CNE100000PH8,,0.09,,,,
7/31/20,Seazen Holdg,CNE100002BF8,,0.09,,,,
7/31/20,OCT,CNE000000SS0,,0.09,,,,
7/31/20,Goldwind Science,CNE1000008S5,,0.09,,,,
7/31/20,Greenland Hldng,CNE000000388,,0.09,,,,
7/31/20,YUNDA Holding,CNE100000015,,0.09,,,,
7/31/20,Junzheng,CNE1000010F8,,0.09,,,,
7/31/20,Gemdale,CNE000001790,,0.09,,,,
7/31/20,Supor,CNE000001KS5,,0.09,,,,
7/31/20,Han's Laser Tech,CNE000001JQ1,,0.09,,,,
7/31/20,Century Huatong,CNE1000015R2,,0.09,,,,
7/31/20,Shenzhen Goodix,CNE100002G84,,0.09,,,,
7/31/20,YYTM,CNE000000594,,0.09,,,,
7/31/20,ZHONGJIN GOLD,CNE000001FM8,,0.09,,,,
7/31/20,ZJ Longsheng,CNE000001FJ4,,0.09,,,,
7/31/20,Offcn Edu,CNE100001641,,0.09,,,,
7/31/20,HYPC,CNE0000001J1,,0.09,,,,
7/31/20,Lepu Medical BJ,CNE100000H44,,0.09,,,,
7/31/20,SHLG,CNE000000C74,,0.09,,,,
7/31/20,Songcheng Prfrmn,CNE100000XG4,,0.09,,,,
7/31/20,Sinolink Secs,CNE000000SV4,,0.09,,,,
7/31/20,Shanghai Pharma,CNE000000C82,,0.09,,,,
7/31/20,Suning.Com,CNE000001KF2,,0.09,,,,
7/31/20,TF Securities,CNE100003F43,,0.09,,,,
7/31/20,YH Superstores,CNE100000XX9,,0.09,,,,
7/31/20,PWRD,CNE1000018W6,,0.09,,,,
7/31/20,Caitong Secs,CNE100002V44,,0.09,,,,
7/31/20,Changjiang Secs,CNE000000SH3,,0.09,,,,
7/31/20,MeinianOnehealth,CNE000001LV7,,0.09,,,,
7/31/20,SCS,CNE1000019P8,,0.09,,,,
7/31/20,Sanan Optoelec,CNE000000KB3,,0.09,,,,
7/31/20,Robam,CNE100000WY9,,0.09,,,,
7/31/20,OFILM,CNE100000S33,,0.09,,,,
7/31/20,KHPG,CNE1000020C4,,0.09,,,,
7/31/20,ShanghaiElectric,CNE100000D55,,0.09,,,,
7/31/20,Shiji Info,CNE100000668,,0.09,,,,
7/31/20,SUNWAY COMM,CNE100000W94,,0.09,,,,
7/31/20,Wanda Film,CNE100001WW1,,0.09,,,,
7/31/20,Western Sec,CNE100001D96,,0.09,,,,
7/31/20,YTO Express,CNE0000012J8,,0.09,,,,
7/31/20,Jinke Property,CNE000000073,,0.09,,,,
7/31/20,ZTT,CNE000001CW4,,0.09,,,,
7/31/20,AVIC IF,CNE000000KC1,,0.09,,,,
7/31/20,Bluestar Adisseo,CNE000001253,,0.09,,,,
7/31/20,CFLD,CNE000001GG8,,0.09,,,,
7/31/20,China Spacesat,CNE000000SM3,,0.09,,,,
7/31/20,CHINALIN SECS,CNE100003JH5,,0.09,,,,
7/31/20,CSICPCL,CNE000001KB1,,0.09,,,,
7/31/20,Guoyuan Secs,CNE000000QZ9,,0.09,,,,
7/31/20,Giant Network,CNE1000010R3,,0.09,,,,
7/31/20,Great Wall Secs,CNE100003GD0,,0.09,,,,
7/31/20,MJNY,CNE0000005J2,,0.09,,,,
7/31/20,QRCB,CNE100003JQ6,,0.09,,,,
7/31/20,OPG,CNE0000004Z1,,0.09,,,,
7/31/20,MinmetalsCapital,CNE0000016N1,,0.09,,,,
7/31/20,RiseSun,CNE1000005Y9,,0.09,,,,
7/31/20,QZXA Develop,CNE000000ZH8,,0.09,,,,
7/31/20,Yangyuan,CNE100002ST3,,0.09,,,,
7/31/20,SWSC,CNE0000016P6,,0.09,,,,
7/31/20,Yango,CNE000000206,,0.09,,,,
7/31/20,Youngor Fashion,CNE000000XR2,,0.09,,,,
7/31/20,YTCO,CNE000000PY4,,0.09,,,,
7/31/20,Zhongnan Cons,CNE0000011P7,,0.09,,,,
7/31/20,Kelun Pharm,CNE100000PW7,,0.09,,,,
7/31/20,Jointown,CNE100000W45,,0.09,,,,
7/31/20,Dongxing Secs,CNE100002177,,0.09,,,,
7/31/20,Biocause Pharma,CNE000000F48,,0.09,,,,
7/31/20,C.G.G.C,CNE000000QF1,,0.09,,,,
7/31/20,CNCEC,CNE100000KC0,,0.09,,,,
7/31/20,Bank of Changsha,CNE100003F50,,0.09,,,,
7/31/20,HDPI,CNE000001LJ2,,0.09,,,,
7/31/20,Aisino,CNE000001FB1,,0.09,,,,
7/31/20,HTGD,CNE000001FQ9,,0.09,,,,
7/31/20,Grand Automotive,CNE000001576,,0.09,,,,
7/31/20,GBIAC,CNE000001DX0,,0.09,,,,
7/31/20,FiberHome,CNE0000018P2,,0.09,,,,
7/31/20,Salubris,CNE100000FW8,,0.09,,,,
7/31/20,SIASUN,CNE100000GH7,,0.09,,,,
7/31/20,Tasly,CNE000001C81,,0.09,,,,
7/31/20,THTF,CNE000000RK9,,0.09,,,,
7/31/20,TNMG,CNE000000529,,0.09,,,,
7/31/20,Transfar Zhilian,CNE000001JS7,,0.09,,,,
7/31/20,Tunghsu Optoelec,CNE000000578,,0.09,,,,
7/31/20,YanAn Bicon,CNE100000PJ4,,0.09,,,,
7/31/20,Wangsu,CNE100000GQ8,,0.09,,,,
7/31/20,XM C&D,CNE000000WL7,,0.09,,,,
7/31/20,ZZEPC,CNE100001SP3,,0.09,,,,
7/31/20,PGVT,CNE0000007H2,,0.09,,,,
7/31/20,LJZ,CNE0000009S5,,0.09,,,,
7/31/20,ANSTEEL,CNE000000SQ4,,0.09,,,,
7/31/20,BAIC BluePark,CNE000000LP1,,0.09,,,,
7/31/20,Bohai Leasing,CNE0000009B1,,0.09,,,,
7/31/20,BOW,CNE100000N95,,0.09,,,,
7/31/20,DEEJ,CNE0000006Y9,,0.09,,,,
7/31/20,Gold Mantis,CNE000001P86,,0.09,,,,
7/31/20,J-Yuan Trust,CNE0000003P4,,0.09,,,,
7/31/20,Jumpcan Pharm,CNE0000018X6,,0.09,,,,
7/31/20,Macalline,CNE100002RX7,,0.09,,,,
7/31/20,NZP,CNE100000V12,,0.09,,,,
7/31/20,NS Aluminium,CNE000001139,,0.09,,,,
7/31/20,Hoshine Silicon,CNE100002V10,,0.09,,,,
7/31/20,SCTE,CNE000000BQ0,,0.09,,,,
7/31/20,QD Port Intl,CNE100003GT6,,0.09,,,,
7/31/20,Yankuang Energy,CNE000000WV6,,0.09,,,,
7/31/20,Shanghai Const,CNE000000WR4,,0.09,,,,
7/31/20,STO Express,CNE100000T99,,0.09,,,,
7/31/20,TBEA,CNE000000RB8,,0.09,,,,
7/31/20,THDB,CNE000000H87,,0.09,,,,
7/31/20,Tianqi Lithium,CNE100000T32,,0.09,,,,
7/31/20,HBIS,CNE000000H20,,0.09,,,,
7/31/20,HLA GROUP,CNE0000016H3,,0.09,,,,
7/31/20,Hainan Airlines,CNE0000011C5,,0.09,,,,
7/31/20,CN Coal Energy,CNE100000957,,0.09,,,,
7/31/20,AVIC AVIONICS,CNE0000018C0,,0.09,,,,
7/31/20,Avicopter,CNE0000015V6,,0.09,,,,
7/31/20,BaiyinNonferrous,CNE100002RP3,,0.09,,,,
7/31/20,GYB,CNE100002FX2,,0.09,,,,
7/31/20,BBMG Corp,CNE1000010M4,,0.09,,,,
7/31/20,China Film,CNE100002GX0,,0.09,,,,
7/31/20,Bank of Xi'an,CNE100003JB8,,0.09,,,,
7/31/20,CNOOC Energy Tec,CNE100003L78,,0.09,,,,
7/31/20,FangDa Carbon,CNE000001CC6,,0.09,,,,
7/31/20,COOEC,CNE0000019T2,,0.09,,,,
8/31/20,Industrial and Commercial Bank of China Ltd,CNE000001P37,,0.11,,,,
8/31/20,Kweichow Moutai Co Ltd,CNE0000018R8,,0.11,,,,
8/31/20,Agricultural Bank of China Ltd,CNE100000RJ0,,0.11,,,,
8/31/20,Bank of China Ltd,CNE000001N05,,0.11,,,,
8/31/20,China Construction Bank Corp,CNE100000742,,0.11,,,,
8/31/20,PetroChina Co Ltd,CNE1000007Q1,,0.11,,,,
8/31/20,BYD Co Ltd,CNE100001526,,0.11,,,,
8/31/20,China Merchants Bank Co Ltd,CNE000001B33,,0.11,,,,
8/31/20,China Life Insurance Co Ltd,CNE000001Q93,,0.11,,,,
8/31/20,Ping An Insurance Group Co of China Ltd,CNE000001R84,,0.11,,,,
8/31/20,China Shenhua Energy Co Ltd,CNE100000767,,0.11,,,,
8/31/20,China Yangtze Power Co Ltd,CNE000001G87,,0.11,,,,
8/31/20,China Petroleum & Chemical Corp,CNE0000018G1,,0.11,,,,
8/31/20,Midea Group Co Ltd,CNE100001QQ5,,0.11,,,,
8/31/20,Wuliangye Yibin Co Ltd,CNE000000VQ8,,0.11,,,,
8/31/20,Bank of Communications Co Ltd,CNE1000000S2,,0.11,,,,
8/31/20,Foxconn Industrial Internet Co Ltd,CNE1000031P3,,0.11,,,,
8/31/20,Industrial Bank Co Ltd,CNE000001QZ7,,0.11,,,,
8/31/20,Zijin Mining Group Co Ltd,CNE100000B24,,0.11,,,,
8/31/20,CITIC Securities Co Ltd,CNE000001DB6,,0.11,,,,
8/31/20,East Money Information Co Ltd,CNE100000MD4,,0.11,,,,
8/31/20,China Citic Bank Corp Ltd,CNE1000000R4,,0.11,,,,
8/31/20,Luxshare Precision Industry Co Ltd,CNE100000TP3,,0.11,,,,
8/31/20,Jiangsu Hengrui Pharmaceuticals Co Ltd,CNE0000014W7,,0.11,,,,
8/31/20,Shanghai Pudong Development Bank Co Ltd,CNE0000011B7,,0.11,,,,
8/31/20,Hangzhou Hikvision Digital Technology Co Ltd,CNE100000PM8,,0.11,,,,
8/31/20,China Pacific Insurance Group Co Ltd,CNE1000008M8,,0.11,,,,
8/31/20,People's Insurance Company Group of China Ltd,CNE100003F27,,0.11,,,,
8/31/20,Shanxi Xinghuacun Fen Wine Factory Co Ltd,CNE000000DH5,,0.11,,,,
8/31/20,Haier Smart Home Co Ltd,CNE000000CG9,,0.11,,,,
8/31/20,Gree Electric Appliances Inc of Zhuhai,CNE0000001D4,,0.11,,,,
8/31/20,Foshan Haitian Flavouring and Food Co Ltd,CNE100001SL2,,0.11,,,,
8/31/20,China State Construction Engineering Corp Ltd,CNE100000F46,,0.11,,,,
8/31/20,Ping An Bank Co Ltd,CNE000000040,,0.11,,,,
8/31/20,China United Network Communications Ltd,CNE000001CS2,,0.11,,,,
8/31/20,Wanhua Chemical Group Co Ltd,CNE0000016J9,,0.11,,,,
8/31/20,COSCO Shipping Holdings Co Ltd,CNE100000601,,0.11,,,,
8/31/20,China Everbright Bank Co Ltd,CNE100000SL4,,0.11,,,,
8/31/20,China National Nuclear Power Co Ltd,CNE1000022N7,,0.11,,,,
8/31/20,Crrc Corp Ltd,CNE100000CP9,,0.11,,,,
8/31/20,Muyuan Foods Co Ltd,CNE100001RQ3,,0.11,,,,
8/31/20,SAIC Motor Corp Ltd,CNE000000TY6,,0.11,,,,
8/31/20,ZTE Corp,CNE000000TK5,,0.11,,,,
8/31/20,S.F. Holding Co Ltd,CNE100000L63,,0.11,,,,
8/31/20,Shenzhen Inovance Technology Co Ltd,CNE100000V46,,0.11,,,,
8/31/20,Shaanxi Coal Industry Co Ltd,CNE100001T64,,0.11,,,,
8/31/20,NARI Technology Co Ltd,CNE000001G38,,0.11,,,,
8/31/20,Great Wall Motor Co Ltd,CNE1000018V8,,0.11,,,,
8/31/20,Will Semiconductor Co Ltd Shanghai,CNE100002XM8,,0.11,,,,
8/31/20,WuXi AppTec Co Ltd,CNE1000031K4,,0.11,,,,
8/31/20,Luzhou Laojiao Co Ltd,CNE000000GF2,,0.11,,,,
8/31/20,Inner Mongolia Yili Industrial Group Co Ltd,CNE000000JP5,,0.11,,,,
8/31/20,China Minsheng Banking Corp Ltd,CNE0000015Y0,,0.11,,,,
8/31/20,China Securities Co Ltd,CNE1000031T5,,0.11,,,,
8/31/20,BOE Technology Group Co Ltd,CNE0000016L5,,0.11,,,,
8/31/20,Hithink RoyalFlush Information Network Co Ltd,CNE100000JG3,,0.11,,,,
